ID,title,author,publisher,first_published_year,language,cover_image
18600,Mi Ultimo Adiós,"Rizal,  José",Project Gutenberg, 2006,Spanish,https://www.gutenberg.org/cache/epub/18600/pg18600.cover.medium.jpg
107,Far from the Madding Crowd,"Hardy,  Thomas",Project Gutenberg, 1994,English,https://www.gutenberg.org/cache/epub/107/pg107.cover.medium.jpg
56796,1000 Things Worth Knowing,"Fowler,  Nathaniel C. (Nathaniel Clark)",Project Gutenberg, 2018,English,https://www.gutenberg.org/cache/epub/56796/pg56796.cover.medium.jpg
22984,Peter Pan,"Barrie,  J. M. (James Matthew)",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/22984/pg22984.cover.medium.jpg
35312,Aus dem Leben eines Taugenichts: Novelle,"Eichendorff,  Joseph,  Freiherr von",Project Gutenberg, 2011,German,https://www.gutenberg.org/cache/epub/35312/pg35312.cover.medium.jpg
5921,"The History of Don Quixote, Volume 1, Complete","Cervantes Saavedra,  Miguel de",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/5921/pg5921.cover.medium.jpg
541,The Age of Innocence,"Wharton,  Edith",Project Gutenberg, 1996,English,https://www.gutenberg.org/cache/epub/541/pg541.cover.medium.jpg
10676,The Reign of Greed,"Rizal,  José",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/10676/pg10676.cover.medium.jpg
15474,"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1Books 1, 2 and 3","Ganguli,  Kisari Mohan",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/15474/pg15474.cover.medium.jpg
16464,The Ancient Irish Epic Tale Táin Bó Cúalnge,"Dunn,  Joseph",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/16464/pg16464.cover.medium.jpg
75234,"""Who he?""","Bester,  Alfred",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75234/pg75234.cover.medium.jpg
66048,The Interpretation of Dreams,"Freud,  Sigmund",Project Gutenberg, 2021,English,https://www.gutenberg.org/cache/epub/66048/pg66048.cover.medium.jpg
31193,Manifesto of the Communist Party,"Marx,  Karl",Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/31193/pg31193.cover.medium.jpg
146,A Little PrincessBeing the whole story of Sara Crewe now told for the first time,"Burnett,  Frances Hodgson",Project Gutenberg, 1994,English,https://www.gutenberg.org/cache/epub/146/pg146.cover.medium.jpg
11030,"Incidents in the Life of a Slave Girl, Written by Herself","Jacobs,  Harriet A. (Harriet Ann)",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/11030/pg11030.cover.medium.jpg
8581,"The art of money getting :  or, golden rules for making money","Barnum,  P. T. (Phineas Taylor)",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/8581/pg8581.cover.medium.jpg
50316,The Fables of La FontaineTranslated into English Verse by Walter Thornbury and Illustrated by Gustave Doré,"La Fontaine,  Jean de",Project Gutenberg, 2015,English,https://www.gutenberg.org/cache/epub/50316/pg50316.cover.medium.jpg
21605,"Uncle Remus, his songs and his sayings","Harris,  Joel Chandler",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/21605/pg21605.cover.medium.jpg
34811,Buddenbrooks: Verfall einer Familie,"Mann,  Thomas",Project Gutenberg, 2011,German,https://www.gutenberg.org/cache/epub/34811/pg34811.cover.medium.jpg
42794,"Notes and Queries, Index to Eighth Volume, July-December 1853A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",Various,Project Gutenberg, 2013,English,https://www.gutenberg.org/cache/epub/42794/pg42794.cover.medium.jpg
16433,The Gay Cockade,"Bailey,  Temple",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/16433/pg16433.cover.medium.jpg
50603,Minute Mysteries [Detectograms],"Ripley,  H. A. (Harold Austin)",Project Gutenberg, 2015,English,https://www.gutenberg.org/cache/epub/50603/pg50603.cover.medium.jpg
73533,The poetic Edda :  Translated from the Icelandic with an introduction and notes,"Bellows,  Henry Adams",Project Gutenberg, 2024,English,https://www.gutenberg.org/cache/epub/73533/pg73533.cover.medium.jpg
994,Riders to the Sea,"Synge,  J. M. (John Millington)",Project Gutenberg, 1997,English,https://www.gutenberg.org/cache/epub/994/pg994.cover.medium.jpg
