ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL40226819W,2019 Weekly Planner,Calendar Schedule Organizer and Journal Notebook with Inspirational Quotes and Decorative Fantasy Stylized Ornate Elephant Silhouette. Zentangle Black Background Cover,Creative art Creative art planners 2019,CreateSpace Independent Publishing Platform,           2018         ,English,/images/icons/avatar_book.png,156,,,9781727695472
OL5691793W,The Real Fantasy,,Caroline Anderson,Harlequin Books,           1996         ,English,//covers.openlibrary.org/b/id/12817340-M.jpg,,,0373173490,
OL40197119W,Weekly and Monthly Planner 2018,Calendar Schedule Organizer Appointment Journal Notebook to Do List and Action Day 8 X 10 Inch Sugar Skull Sweet Dead Fantasy Fairies,Creative art Creative art planners,CreateSpace Independent Publishing Platform,           2017         ,English,/images/icons/avatar_book.png,156,,,9781979341981
OL11936653W,Rozważając fantasy,"etyczne, dydaktyczne i terapeutyczne aspekty literatury i filmu fantasy","Międzynarodowa Konferencja ""W Stronę W...",Oficyna Wydawnicza ATUT--Wrocławskie Wydawn. Oświatowe,           2007         ,Polish,/images/icons/avatar_book.png,254,,8374322292,
OL8906137W,Call Of Cthulhu,Unspeakable Tales Booster Display,Fantasy Flight Games,Fantasy Flight Games,           2004         ,English,//covers.openlibrary.org/b/id/2950126-M.jpg,,,1589942043,
OL71873W,De klif-kronieken - Dreiging over Sanctaphrax,"Spannend fantasy-avontuur, vanaf 12 jaar",Paul Stewart,ZNU,           2001         ,,https://archive.org/download/deklifkroniekend0000stew/page/cover_w180_h360.jpg,,3.6 (5 ratings),9044721194,
OL3474638W,Fantasy stories,,Robin Lawrie,Kingfisher,           1994         ,English,//covers.openlibrary.org/b/id/6739027-M.jpg,254,,1856979822,
OL52114W,"The War of the Worlds (Essential Gothic, SF & Dark Fantasy)",,H. G. Wells,Flame Tree 451,           1898         ,,//covers.openlibrary.org/b/id/8765620-M.jpg,192,3.8 (141 ratings),0857754203,
OL19333W,Firewing (Aladdin Fantasy),,Kenneth Oppel,Tandem Library,           1999         ,English,//covers.openlibrary.org/b/id/1787293-M.jpg,317,3.6 (5 ratings),1417624620,
OL60120W,The Tough Guide to Fantasyland,The Essential Guide to Fantasy Travel,Diana Wynne Jones,Puffin,           1996         ,English,//covers.openlibrary.org/b/id/110476-M.jpg,256,4.8 (4 ratings),0142407224,
OL24219533W,BWWM Dark Fantasy,The Complete Series,Jamila Jasper,Independently published,           2018         ,,//covers.openlibrary.org/b/id/10681496-M.jpg,340,,1983106623,
OL37815793W,Last Fantasy Volume 4 (Last Fantasy (Graphic Novels)),,Writer Gang (hon Kwon),TokyoPop,           2007         ,English,//covers.openlibrary.org/b/id/874333-M.jpg,163,,1595325298,
OL2895536W,Carmilla (Biblioteca De Fantasia Y Terror / Fantasy and Horror Library),,Joseph Sheridan Le Fanu,Alianza Editorial Sa,           1871         ,Spanish,//covers.openlibrary.org/b/id/4903142-M.jpg,148,3.9 (49 ratings),8420660353,
OL29982992W,Grand Fantasy Designs - Notes,"Farbverlauf Textur Farbe Braun - Tagesplaner 15,24 X 22,86",Felix Ode,Independently Published,           2019         ,German,//covers.openlibrary.org/b/id/13161905-M.jpg,,,,9781712252116
OL17834026W,Oathbringer,Book Three of the Stormlight Archive,Brandon Sanderson,Tor Fantasy,           2017         ,English,//covers.openlibrary.org/b/id/14658423-M.jpg,1328,4.6 (81 ratings),0765365294,
